movie_title,channel,title,link,description,postdate
왕과 사는 남자,blog,"박지훈 유해진 왕사남 1400만 돌파, 역대 5위 등극 비결 분석",https://blog.naver.com/true_cheat/224224352888,"순위 영화 제목 누적 관객수 4위 국제시장 1,425만 5위 <b>왕과 사는 남자</b> 1,400만+ 6위 어벤져스: 엔드게임 1... #박지훈, #유해진, #<b>왕과사는남자</b>, #왕사남, #왕사남1400만, #박지훈유해진, #영화추천, #역대흥행순위... ",20260321
왕과 사는 남자,blog,집 떠나면 개고생,https://blog.naver.com/yyyh211/224224517795,"안녕하세욤 청주를 떠나 행복했던 주인장입니다ㅎㅅㅎ 하지만, 지금은 다시 청주네요. 정병 max상태; ??: 나 이제.. 가려.. 합니다.. 단종의 마음을 알겠음.. 홍위형 엉엉엉ㅠㅠㅠ 1학년 열심히 살았으니까 나를... ",20260321
왕과 사는 남자,blog,26년 3월 20일(금) / 데이케어가는날!!!! / 추성훈스테이크... ,https://blog.naver.com/qhfka6988/224224516215,소다 종류도 100가지라 고르는 재미도 있었다 한 좌석당 9달러인데 모든 좌석이 리클라이너좌석임 영화는 &lt;<b>왕과 사는 남자</b>&gt; 봤는데 한국에서 천만관객을 넘긴 장항준 감독의 영화고 영어더빙이 아닌 찐... ,20260321
왕과 사는 남자,blog,"동탄호수공원 맛집, 봄동 나물부터 화덕 생선구이까지 유평리... ",https://blog.naver.com/l004ni/224224514716,"요즘 화제가 됐던 드라마 <b>왕과 사는 남자</b> 보신 분들 계세요? 극 중 단종의 수라상에 올라왔던 어수리나물이 엄청 화제가 됐었는데, 그 귀한 봄나물을 여기서 맛볼 수 있다고 해서 더 기대됐어요. 임금님 밥상에... ",20260321
왕과 사는 남자,blog,2026년 첫 천만영화에 등극한 <b>왕과사는남자</b> 굿즈 예약판매... ,https://blog.naver.com/zzini_velyy/224224513556,안녕하세요 심찌니입니다:) 저는 <b>왕과사는남자</b> 4번 본 사람인데요..ෆ 아직도 영화관에서 상영중인데 1400만을 돌파하며 현재 천만영화 5위 입니다! 이번에 1400만도 넘었는데 <b>왕과사는남자</b> 굿즈가... ,20260321
왕과 사는 남자,blog,2026 영월 단종 문화제 행사 일정 및 대표 행사 소개,https://blog.naver.com/petitamis_jy/224223848188,영화 <b>왕과 사는 남자</b> 속 비운의 왕 단종과 그의 왕비 정순왕후를 기리는 &quot; 단종문화제 &quot; 단종문화제는 조선 6대 임금인 단종의 고혼과 충신들의 넋을 축제로 승화시킨 영월의 대표적인 향토문화제로... ,20260321
왕과 사는 남자,blog,"1400만 '왕사남', 박지훈 마지막 순간 담은 '미공개 영상' 공개!",https://blog.naver.com/wonderwoman_tip/224224416257,영화 '<b>왕과 사는 남자</b>'가 어느덧 1400만 관객을 돌파하며 역대 박스오피스 5위까지 올랐다고 해요. 그런데... '<b>왕과 사는 남자</b>'로 1400만 관객을 돌파하며 대세임을 입증한 박지훈 씨! 이제는 가수로서도 활발한... ,20260321
왕과 사는 남자,blog,넌 개학하고 나는 출근하고,https://blog.naver.com/hjjsn/224224509558,"<b>왕과사는 남자</b> 보러 옴. 재밌고 눈물나고, 근데 럭키 땜에 중간 날려먹음. 화장실가서 영화관을 못찾음. 울고 있는거 데꼬 옴. 저녁은 계란치즈전. 나도 저녁. 3월3일 개학이네?ㅋㅋ 잘 다녀와~^^ 방학이 짧다며... ",20260321
왕과 사는 남자,blog,브이로그,https://blog.naver.com/nooyzu_/224224504150,같이 술 마시니까 기분이 이상하네  더 놀고싶어서 내방에 데꼬와서 재웠다 그리고 <b>왕과 사는 남자</b>.. 최근에 본 영화중에 최고 !!!!!!!! 솔직히 진짜 울거라 생각안했는데 울엇듬.. 이거 보고 박지훈한테 또 잠깐... ,20260321
왕과 사는 남자,blog,"1410만 넘겼다...왕사남 역대 TOP5 확정, 국제시장까지 16만... ",https://blog.naver.com/pkn3422/224224504250,<b>왕과 사는 남자</b> 1410만 돌파 이제 국제시장·신과함께 넘는 일만 남았습니다 3월 21일 집계 기준으로 영화 <b>왕과 사는 남자</b>의 누적 관객이 1410만 명을 넘어섰습니다. <b>왕과 사는 남자</b> 드라마2026장항준 20일... ,20260321
왕과 사는 남자,blog,"3월 1주차, 날씨가 오락가락",https://blog.naver.com/sununa_811/224224500503,다들 마시면 이정도 마시잖아 와중에 맛난냄새맡고 앞에서 알짱거리는시루상 귀여워 밥먹고 치우고 쉬다가 보러간 #<b>왕과사는남자</b> 왕사남~~ 드디어 한것22 지금 이제 1600만도 넘었다던데 과연 어디까지 오를가.... ,20260321
왕과 사는 남자,blog,"'<b>왕과사는 남자</b>'가 잘한 일 중 하나, 사람들을 극장으로 오게 한 일",https://blog.naver.com/goodtime67890/224224499746,이번 편은 영화 <b>왕과 사는 남자</b> 관람 후기입니다. 글쓰기에 앞서서 영화관에서 관람한 영화가 뭐였지?... 어린 왕 이홍위는 왕위에서 쫓겨나 유배길에 오른다. “무슨 수를 쓰더라도 그 대감을 우리 광천골로... ,20260321
왕과 사는 남자,blog,[KOICA 프로젝트 봉사단 5기 엘살바도르] 국내교육 | 3월 초... ,https://blog.naver.com/jaeyammy/224224499523,식사는 매우 잘나옵니다! 프봉 5기 사람들은 너무 귀엽습니다 소모임으로 경도가 열렸어요 저도 한번... 문화탐방으로 <b>왕과 사는 남자</b>로 유명해진!!! 청령포에 다녀왔습니다 비가와서 취소될까봐 걱정했는데... ,20260321
왕과 사는 남자,blog,"유지태, 왕사남 장항준 감독 고충 유퀴즈에서 밝힌 1400만... ",https://blog.naver.com/blackwitch74/224224497005,영화 ‘<b>왕과 사는 남자</b>’(이하 왕사남)의 생생한 촬영 현장 뒷이야기를 전했습니다. 유지태는 최근... ■ '왕사남'의 멈추지 않는 흥행 기록 영화 ‘<b>왕과 사는 남자</b>’는 유배지 영월에서 폐위된 단종(이홍위)과... ,20260321
왕과 사는 남자,blog,"유지태, 왕사남 장항준 감독 고충 한명회 네 이놈 관객 분노... ",https://blog.naver.com/damungchi/224224495608,"오늘은 1,400만 관객을 돌파하며 흥행 돌풍을 일으키고 있는 영화 <b>왕과 사는 남자</b>의 주역, 배우 유지태... 누적 관객 1,410만 돌파 전 세대 사로잡은 왕사남의 감동 장기 흥행 중인 영화 <b>왕과 사는 남자</b>는 폐위된... ",20260321
왕과 사는 남자,blog,"유지태, 왕사남 장항준 감독 고충 몰입 깨진 사연",https://blog.naver.com/eork139/224224495298,"영화 <b>왕과 사는 남자</b>(이하 왕사남)의 주역, 배우 유지태 씨가 tvN 유 퀴즈 온 더 블럭에 출연한다는... 누적 관객 1,410만 명 돌파 <b>왕과 사는 남자</b>의 멈추지 않는 흥행 신화 유지태 씨의 유퀴즈 출연이 더욱 반가운... ",20260321
